idx,drug_name,drug_text
38,Methylphenidate,"Methylphenidate is a central nervous system stimulant used most commonly in the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD) and for narcolepsy. Also known as the marketed products Ritalin, Concerta, or Biphentin, methylphenidate is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve the following group of developmentally inappropriate symptoms associated with ADHD: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Long-acting formulations of psychostimulants such as methylphenidate, [DB01576], and [DB01255] are considered the most effective and widely used treatment for ADHD, and are considered first-line options for children, adolescents, and adults as re While its exact mechanism is unclear, methylphenidate (MPH) has been shown to act as a norepinephrine and dopamine reuptake inhibitor (NDRI), thereby increasing the presence of these neurotransmitters in the extraneuronal space and prolonging their action.[A177541] There is a dose-related effect of psychostimulants on receptor stimulation, where higher doses are shown to increase norepinephrine (N"
39,Fosphenytoin,"Fosphenytoin is a water-soluble phenytoin prodrug used only in hospitals for the treatment of epileptic seizures. It works by slowing down impulses in the brain that cause seizures. Its main mechanism is to block frequency-dependent, use-dependent and voltage-dependent neuronal sodium channels, and therefore limit repetitive firing of action potentials. Fosphenytoin is a prodrug of phenytoin and accordingly, its anticonvulsant effects are attributable to phenytoin. Phenytoin acts on sodium channels on the neuronal cell membrane, limiting the spread of seizure activity and reducing seizure propagation. By promoting sodium efflux from neurons, phenytoin tends to stabilize the threshold against hyperexcitability caused by excessive stimulation or en"
40,Temozolomide,"Refractory anaplastic astrocytoma (WHO grade III) and Glioblastoma multiforme (WHO grade IV) are primary malignant brain tumours with poor prognosis and limited treatment options. Despite considerable genetic heterogeneity, these tumours often have impaired DNA repair systems, rendering them initially sensitive to alkylating agents, although they invariably develop resistance to these agents over time.[A229848, A229858, L32033] Temozolomide is an imidazotetrazine prodrug that is stable at acidic pH but undergoes spontaneous nonenzymatic hydrolysis at neutral or slightly basic pH; these properties allow for both oral and intravenous administration.[A229853, A229888, A229923, L32033] Following initial hydrolysis, further reactions liberate a highly reactive methyl diazonium cation capable of Glioblastoma (glioblastoma multiforme) is the most common and aggressive adult primary brain tumour, accounting for 45.6% of all primary malignant brain tumours. Primarily defined histopathologically by necrosis and microvascular proliferation (WHO grade IV classification), glioblastomas are commonly treated through radiotherapy and concomitant alkylation-based chemotherapy with temozolomide.[A229"
41,Carbamazepine,"Carbamazepine, also known as Tegretol, is an anticonvulsant drug and analgesic drug used to control seizures and to treat pain resulting from trigeminal neuralgia. It was initially approved by the FDA in 1965.[A180301] Aside from the above uses, this drug is also given to control the symptoms of bipolar 1.[L1335] Interestingly, carbamazepine was the first anticonvulsant used to treat individuals with bipolar disorder.[A180319] Carbamazepine's mechanism of action is not fully elucidated and is widely debated.[A180310,L9713] One major hypothesis is that carbamazepine inhibits sodium channel firing, treating seizure activity. Animal research studies have demonstrated that carbamazepine exerts its effects by lowering polysynaptic nerve response and inhibiting post-tetanic potentiation. In both cats and rats, carbamazepine w"
42,Everolimus,"Everolimus is a derivative of Rapamycin (sirolimus), and works similarly to Rapamycin as an mTOR (mammalian target of rapamycin) inhibitor. It is currently used as an immunosuppressant to prevent rejection of organ transplants. In a similar fashion to other mTOR inhibitors Everolimus' effect is solely on the mTORC1 protein and not on the mTORC2 protein. Everolimus is a mTOR inhibitor that binds with high affinity to the FK506 binding protein-12 (FKBP-12), thereby forming a drug complex that inhibits the activation of mTOR. This inhibition reduces the activity of effectors downstream, which leads to a blockage in the progression of cells from G1 into S phase, and subsequently inducing cell growth arrest and apoptosis. Everolimus also inhibits the "
43,Acamprosate,"Alcohol use disorder is responsible for a large worldwide burden of morbidity, premature mortality, and economic consequences resulting from accidents, violence, incarceration, decreased productivity, and increased healthcare spending.[A229073]

Acamprosate, also known by the brand name Campral, is a drug used for the maintenance of alcohol abstinence. It is a structural analogue of the neurotransmitter γ-aminobutyric acid (GABA).[L31758] Acamprosate is the first medication specifically formulated for the maintenance of alcohol abstinence in ethanol-dependent patients after alcohol detoxification[A997], unlike [naltrexone] and [disulfiram]. It was first approved by the FDA in 2004 and initially marketed by Forest Laboratories.[L31783] The mechanism of action of acamprosate for the maintenance of alcohol abstinence has not been established. Chronic alcohol exposure is believed to modify the balance between neuronal excitation and inhibition. Results of studies in animals suggest acamprosate may interact with glutamate and GABA neurotransmitter systems in the CNS, supporting the hypothesis that acamprosate restores the balance be"
44,Zonisamide,"Zonisamide is a sulfonamide anticonvulsant used as an adjunctive therapy in adults with partial-onset seizures.[L42530,L42535]  Zonisamide may act by blocking repetitive firing of voltage-gated sodium channels, leading to a reduction of T-type calcium channel currents or by binding allosterically to GABA receptors. This latter action may inhibit the uptake of the inhibitory neurotransmitter GABA while enhancing the uptake of the excitatory neurotransmitter glutamate.[L42530,L42535] Zonisamide represents an alternative for patients that remain refractory to established antiepileptic drugs. In 1989, it was approved for commercial use in Japan. The US and Europe approved it in 2000 and 2005, respectively.[A1379,A1383] The mechanism of action by which zonisamide controls seizures has not been fully established. However, its antiepileptic properties may be due to its effects on sodium and calcium channels.[L42530,L42535] Zonisamide blocks sodium channels and reduces voltage-dependent, transient inward currents, stabilizing neuronal membranes and suppressing neuronal hypersynchronization.[L42530,L42535] It affects"
45,Voriconazole,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660] Voriconazole is used to treat fungal infections caused by a variety of organisms but including _Aspergillus spp._ and _Candida spp_. Voriconazole is a triazole antifungal exhibiting fungistatic activity against fungal pathogens.[A236050, A236045, L9821] Like other triazoles, voriconazole binds to 14-alpha sterol demethylase, also known as CYP51, and inhibits the demethylation of lanosterol as part"
46,Thalidomide,"A piperidinyl isoindole originally introduced as a non-barbiturate hypnotic, thalidomide was withdrawn from the market due to teratogenic effects. It has been reintroduced and used for a number of inflammatory disorders and cancers. Thalidomide displays immunosuppressive and anti-angiogenic activity through modulating the release of inflammatory mediators like tumor necrosis factor-alpha (TNF-a) and other cytokine action. Due to severe teratogenicity, pregnancy must be excluded before the start of treatment and patients must enrol in the THALIDOMID Risk Evaluation and Mitigation Strategy (REMS) program to ensure contraception adherence.[L41235] The mechanism of action of thalidomide is not fully understood. Previous research indicate that thalidomide binds to cerebron, a component of the E3 ubiquitin ligase complex, to selectively degrade the transcription factor IKZF3 and IKZF1. These 2 transcription factors are vital for the proliferation and survival of malignant myeloma cells. [A246125] 

Regarding TNF-alpha, thalidomide seems to b"
47,Ketorolac,"Ketorolac is a Non-steroidal anti-inflammatory drug (NSAID) and is commercially available as an oral tablet, injectable, nasal spray and as an ophthalmic solution.[L6358][L6508][L11055][L3674][L11070] 

It's analgesic properties make it a useful pain management tool across many settings including postoperative pain, rheumatoid arthritis, osteoarthritis, menstrual disorders, headaches, spinal and soft tissue pain, and ankylosing spondylitis.[L6520] Impressively, ketorolac has a similar efficacy to standard doses of morphine and meperidine making it a useful opioid sparing agent.[L6511] Ketorolac inhibits key pathways in prostaglandin synthesis which is crucial to it's mechanism of action.[A176143]  Although ketorolac is non-selective and inhibits both COX-1 and COX-2 enzymes, it's clinical efficacy is derived from it's COX-2 inhibition. The COX-2 enzyme is inducible and is responsible for converting arachidonic acid to prostaglandins that mediate inflammation and pain.  By block"
